자치구별,각세별,성별,항목,단위,2018 년,2019 년,2020 년,2021 년,2022 년,2023 년,2024 년
합계,58세,합계,주민등록인구(내국인 각세별/구별),,165629,157352,150635,136273,139968,138553,128533
합계,58세,남자,주민등록인구(내국인 각세별/구별),,78808,75668,74267,67176,68371,67067,65185
합계,58세,여자,주민등록인구(내국인 각세별/구별),,86821,81684,76368,69097,71597,71486,63348
합계,59세,합계,주민등록인구(내국인 각세별/구별),,154800,162867,154658,147043,133214,137813,136303
합계,59세,남자,주민등록인구(내국인 각세별/구별),,74276,77425,74230,72471,65527,67123,65849
합계,59세,여자,주민등록인구(내국인 각세별/구별),,80524,85442,80428,74572,67687,70690,70454
합계,60세,합계,주민등록인구(내국인 각세별/구별),,144310,152404,159897,150552,143794,131053,135577
합계,60세,남자,주민등록인구(내국인 각세별/구별),,69436,72978,75835,72098,70636,64264,65944
합계,60세,여자,주민등록인구(내국인 각세별/구별),,74874,79426,84062,78454,73158,66789,69633
합계,61세,합계,주민등록인구(내국인 각세별/구별),,143745,141959,149721,155565,147097,141351,128776
합계,61세,남자,주민등록인구(내국인 각세별/구별),,68924,68057,71514,73586,70110,69217,62856
합계,61세,여자,주민등록인구(내국인 각세별/구별),,74821,73902,78207,81979,76987,72134,65920
합계,62세,합계,주민등록인구(내국인 각세별/구별),,130874,141460,139410,145718,151898,144609,138973
합계,62세,남자,주민등록인구(내국인 각세별/구별),,62054,67501,66659,69405,71539,68704,67829
합계,62세,여자,주민등록인구(내국인 각세별/구별),,68820,73959,72751,76313,80359,75905,71144
합계,63세,합계,주민등록인구(내국인 각세별/구별),,138260,128754,138976,135678,142472,149541,142214
합계,63세,남자,주민등록인구(내국인 각세별/구별),,64632,60851,66091,64666,67595,70171,67344
합계,63세,여자,주민등록인구(내국인 각세별/구별),,73628,67903,72885,71012,74877,79370,74870
합계,64세,합계,주민등록인구(내국인 각세별/구별),,116760,136069,126456,135149,132670,140281,147150
합계,64세,남자,주민등록인구(내국인 각세별/구별),,55676,63431,59534,64112,62961,66271,68742
합계,64세,여자,주민등록인구(내국인 각세별/구별),,61084,72638,66922,71037,69709,74010,78408
합계,65세,합계,주민등록인구(내국인 각세별/구별),,103128,114979,133512,122872,132104,130606,138069
합계,65세,남자,주민등록인구(내국인 각세별/구별),,48529,54594,62003,57669,62446,61744,64980
합계,65세,여자,주민등록인구(내국인 각세별/구별),,54599,60385,71509,65203,69658,68862,73089
합계,66세,합계,주민등록인구(내국인 각세별/구별),,111910,101482,112961,129750,119972,130134,128429
합계,66세,남자,주민등록인구(내국인 각세별/구별),,52784,47566,53457,60111,56025,61249,60445
합계,66세,여자,주민등록인구(내국인 각세별/구별),,59126,53916,59504,69639,63947,68885,67984
합계,67세,합계,주민등록인구(내국인 각세별/구별),,78386,110044,99591,109670,126652,118290,128047
합계,67세,남자,주민등록인구(내국인 각세별/구별),,36888,51668,46487,51708,58313,54940,59957
합계,67세,여자,주민등록인구(내국인 각세별/구별),,41498,58376,53104,57962,68339,63350,68090
합계,68세,합계,주민등록인구(내국인 각세별/구별),,87224,76918,107975,96459,107089,124747,116489
합계,68세,남자,주민등록인구(내국인 각세별/구별),,41091,35992,50495,44997,50234,57135,53899
합계,68세,여자,주민등록인구(내국인 각세별/구별),,46133,40926,57480,51462,56855,67612,62590
합계,69세,합계,주민등록인구(내국인 각세별/구별),,87818,85733,75455,104509,94039,105326,122515
합계,69세,남자,주민등록인구(내국인 각세별/구별),,40800,40158,35219,48762,43585,49160,55779
합계,69세,여자,주민등록인구(내국인 각세별/구별),,47018,45575,40236,55747,50454,56166,66736
합계,70세,합계,주민등록인구(내국인 각세별/구별),,86655,86235,83992,72768,102029,92368,103648
합계,70세,남자,주민등록인구(내국인 각세별/구별),,40418,39849,39108,33927,47338,42498,48187
합계,70세,여자,주민등록인구(내국인 각세별/구별),,46237,46386,44884,38841,54691,49870,55461
합계,71세,합계,주민등록인구(내국인 각세별/구별),,88400,84893,84540,81019,70901,100301,90701
합계,71세,남자,주민등록인구(내국인 각세별/구별),,40549,39382,38858,37600,32837,46267,41428
합계,71세,여자,주민등록인구(내국인 각세별/구별),,47851,45511,45682,43419,38064,54034,49273
합계,72세,합계,주민등록인구(내국인 각세별/구별),,71356,86715,83055,81368,78774,69598,98441
합계,72세,남자,주민등록인구(내국인 각세별/구별),,32648,39511,38280,37364,36306,32041,45165
합계,72세,여자,주민등록인구(내국인 각세별/구별),,38708,47204,44775,44004,42468,37557,53276
합계,73세,합계,주민등록인구(내국인 각세별/구별),,62630,69827,84766,80058,79086,77304,68286
